,WDPAID,1996_ext,gain_2007,loss_2007,gain_2008,loss_2008,gain_2009,loss_2009,gain_2010,loss_2010,gain_2015,loss_2015,gain_2016,loss_2016,gain_2017,loss_2017,gain_2018,loss_2018,gain_2019,loss_2019,gain_2020,loss_2020,2007_ext,2008_ext,2009_ext,2010_ext,2015_ext,2016_ext,2017_ext,2018_ext,2019_ext,2020_ext
869,95351,10530.418185407229,4.248470139451948,74.00837892685598,5.3112051124403195,117.67238134246789,6.050193425239309,159.7987894438657,3.9257668289359793,142.01717660912732,5.541869360763689,133.69902011300738,4.572272508855585,146.6131228811368,6.049831416658954,247.47734139989691,5.772464509670618,230.4364239021541,7.389716410897135,134.4839949540406,7.482291309903973,132.8204213003209,10460.658276619824,10418.0570091772,10376.6695893886,10392.326775627036,10402.261034654986,10388.377335034947,10288.990675423991,10305.754226014746,10403.323906864085,10405.08005541681
870,478006,201.8312947757167,1.609254921784572,0.4460767127883497,1.7012107276195805,1.7396855678070382,1.6092545559266733,1.7842934875069805,1.517298384235128,2.4980177792470943,1.655232550319721,2.3642018258078403,1.4713151468356476,2.3195976886194245,1.6092505931201169,2.2749827923652384,1.2874053641581447,2.185758080320637,1.379361718732661,2.1411550696717576,1.379361718732661,1.962723746655215,202.99447298471296,201.79281993552925,201.6562558441364,200.85057538070473,201.12232550022858,200.98301223393293,201.1655625764716,200.93294205955422,201.06950142477763,201.24793274779415
871,903116,28.822961223799602,0.7382356230127531,6.4448640653026015,1.5226369299918854,9.622525245138547,0.8305397373173089,12.263343520255093,0.5998455957708534,14.993604163580041,0.32299802261988786,18.932335863233824,1.4304611646131784,20.27497361890748,1.6610905276421135,20.319719683207857,0.5998362735154259,20.677780458549222,0.0,21.349206994899095,0.1845289672612492,21.617809639604552,23.11633278150975,20.72307290865294,17.39015744086182,14.429202655990414,10.213623383185666,9.978448769505299,10.164332068233858,8.745017038765805,7.473754228900507,7.3896805514562995
872,478007,393.49172497633595,14.493286264863617,3.7494797528838815,17.115871825492988,5.401121560059933,17.71401426534606,5.2671853414687115,19.554426766251577,4.820762574357499,20.84271461979155,4.865365162599437,21.48687479609456,4.463605264997389,21.532893376505655,4.463594738096163,22.039002895676095,3.9725737953235774,22.821187893594075,3.4815770214158572,23.235273708374464,3.392318499911843,404.2355314883157,405.206475241769,405.9385539002133,408.22538916823004,409.469074433528,410.51499450743313,410.5610236147454,411.5581540766885,412.8313358485142,413.3346801847986
873,902272,2819.6961821021637,11.139347643106742,68.21382803306464,14.190013783122971,117.23019545240979,13.12697034981129,153.958741074271,11.41674327979429,171.94399630099156,10.676977511156414,173.652660972688,9.10539453557642,172.3981959932006,10.677130187942707,165.4481626924716,9.47525422066985,156.70268603078426,8.319721553068966,164.82052065948577,8.504712361760735,173.65404478364363,2762.621701712206,2716.656000432877,2678.864411377704,2659.168929080967,2656.7204986406323,2656.4033806445395,2664.9251495976346,2672.468750292049,2663.195382995747,2654.5468496802805
874,555543090,1932.2152048056378,30.730382575506447,154.1363870751865,45.84180974600356,240.97529462887564,55.05661370594726,266.58406659015805,50.588162732407255,299.2538027888304,55.65600065028481,336.4837658667519,58.46695700580105,358.02686641248033,64.17978925117866,339.4787320075966,73.57917001787868,307.43338453425855,72.51941325596938,307.16520506943914,64.1341441965139,349.13257286159296,1808.8092003059576,1737.0817199227656,1720.687751921427,1683.5495647492146,1651.3874395891705,1632.6552953989585,1656.9162620492198,1698.3609902892579,1697.5694129921678,1647.2167761405587
875,902293,920.1663704952717,1.2470479784357047,25.631316871543298,1.4779778535211892,32.71111300704021,1.6627429518266394,29.932878319909335,1.8012988975052817,29.79836708733533,1.8013029382430448,33.33828318496829,1.893681149260896,36.116531112861544,1.893690224205222,36.609340874783435,2.4478843937983745,35.13076388672181,2.4479111757809817,37.595264798604916,2.4017315666461663,37.59530287766883,895.7821016021642,888.9332353417527,891.896235127189,892.1693023054416,888.6293902485464,885.9435205316711,885.4507198446935,887.4834910023483,885.0190168724478,884.9727991842491
876,902306,23257.746265594396,34.83376118229137,407.4834643427657,66.19997422333137,1152.017918241386,73.07169573811937,1128.1662412030526,63.524236078945904,1410.0220708805127,50.70067143480121,1331.0935765996946,43.69022932768495,1391.5696127333904,54.34299487427052,1006.8101179773456,62.13911523696632,807.0362295969842,72.97950472404109,703.480582309699,84.23653465194865,756.9135902923275,22885.09656243392,22171.928321576343,22202.651720129463,21911.248430792828,21977.353360429504,21909.86688218869,22305.279142491323,22512.84915123438,22627.24518800874,22585.069209954017
877,903098,3462.236588687217,45.21284223340305,28.17959078606735,91.36364158442281,39.13347846574378,114.9306345098641,32.2704075895772,108.51112345225971,29.725568443733128,75.24518555371976,42.498822592441385,45.63461633146667,51.04443849977429,56.692326994654714,58.27187100418224,55.80170580139553,63.135577521036495,45.68089197400312,71.2265889288098,51.63138645654214,95.81824660232454,3479.269840134553,3514.4667518058964,3544.896815607504,3541.0221436957436,3494.9829516484956,3456.8267665189096,3460.6570446776896,3454.9027169675765,3436.690891732411,3418.049728541435
878,109071,2680.376696550404,62.160398283344904,68.5289602137203,90.6219280591068,96.18609933021224,117.77364258535155,81.97088720412168,116.46324409553247,74.97719995580101,68.29682134500092,68.43829016514351,45.826804457018994,71.43660591736216,46.669512357412586,70.89169186065283,95.07404275559672,70.07342105304448,119.46265143063778,61.807615734768035,120.63263884435511,67.16657834155225,2674.0081346200286,2674.812525279299,2716.179451931634,2721.8627406901355,2680.2352277302616,2654.766895090061,2656.154517047164,2705.3773182529562,2738.031732246274,2733.8427570532067
879,902408,858.8018341978689,3.0578311623914987,1.16865765319039,7.876458734667329,1.528247847919784,8.247101833692362,1.4383457194032083,7.413061434774098,1.4833129509555958,4.494098954296224,3.1915428066259084,1.9922142090509158,5.843646515166283,1.6678991468094877,6.203212877429646,2.5018650156948303,4.584961498854005,5.235544251311826,2.3823363778624156,6.254864846617769,3.2363534091955892,860.69100770707,865.1500450846164,865.610590312158,864.7315826816874,860.1043903455392,854.9504018917535,854.2665204672487,856.7187377147097,861.6550420713182,861.8203456352911
