,WDPAID,1996_ext,gain_2007,loss_2007,gain_2008,loss_2008,gain_2009,loss_2009,gain_2010,loss_2010,gain_2015,loss_2015,gain_2016,loss_2016,gain_2017,loss_2017,gain_2018,loss_2018,gain_2019,loss_2019,gain_2020,loss_2020
767,103171,429.06687979952466,23.192634970416695,10.212164290503203,24.92343728306107,17.539484908142295,22.961864399851695,21.116581629036865,19.384930478220216,29.42467417638395,18.115710258685525,40.963657514118985,13.615685906772843,48.52167377468881,18.86578334128204,49.21402416060225,9.577127097560156,51.406561489341286,4.269338935779364,61.907125124995105,3.346221395503905,68.83037243961397
768,107537,11.060128090182683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
769,108090,12.800054056809547,0.5097162086800265,4.756641872931936,0.5097162086800265,6.90867772174121,0.5663742292625489,7.701655784425133,0.5663703306364298,7.5318156836806605,0.7929306196205431,6.399038933285495,0.6230178372300219,6.115862126405667,0.7362953110668988,6.4556930675009765,2.378739539830605,5.3797216352587895,3.1716623673090707,4.473568208975444,3.1150178116005707,4.869991323693747
770,107697,4.819428961077602,0.1721224326462975,0.28686858921123204,0.1721224326462975,0.40161590159610183,0.1721224326462975,0.3442424765793015,0.1721224326462975,0.34424232245881103,0.1721224326462975,0.5737383342764066,0.1721224326462975,0.6311118363538774,0.1721224326462975,0.6311122216444761,0.1721224326462975,0.5163644469083372,0.1721224326462975,0.45899063659668715,0.1721224326462975,0.8606112384983426
771,108125,0.8318222798783261,0.0,0.0,0.055448636280444635,0.0,0.1109067470842657,0.0554483490471429,0.1109067470842657,0.0554483490471429,0.1109067470842657,0.0,0.1109067470842657,0.0,0.1109067470842657,0.0,0.1109067470842657,0.0,0.055448636280444635,0.11090626852667518,0.0,0.22182239447258648
772,306810,11465.510487690723,184.26683640351501,592.0400724000419,320.4252962405191,940.1511338568737,336.6440741107582,1014.9331924125254,309.8372293895722,1091.892417838007,282.16028533453874,1154.2362903111466,257.71837865862847,1253.1826495359937,259.36764304284264,1224.0235913821268,308.3560639898785,1133.1495472172198,386.75745016139047,1086.020046540975,423.635218488495,1124.005509803852
773,107787,2271.963659772249,15.453480079785631,54.606286075812775,21.36348880652553,78.35692259103885,23.75017900577054,80.9127163859593,17.273026812873177,92.04907537813331,14.772174843450022,116.029867733271,13.23839347869793,120.8610719655259,15.455205054504352,102.28090716573115,25.001740932571877,82.39226307459305,31.25194991855141,76.02628917545982,30.74028725026838,81.82267537898916
774,166965,40.470061507134616,0.05705661890413392,16.556463609468693,0.17126108087659542,19.011283423598925,0.22835742976965592,19.353783355254876,0.05710227098205189,20.267367897348322,0.0,21.066357765117118,0.0,21.8083547130039,0.0,21.808347482549223,0.28527874866938074,20.381460099303514,0.34235385396861345,20.267416803828436,0.28529820080112267,20.039018102090925
775,71021,46706.406630713565,53.51575171201506,1225.6399602067208,96.26827611295721,2082.5277796414775,91.83028880556284,2184.2017766057097,92.06369166732117,2278.5678175694625,81.70577579672987,2394.602808986204,90.76495233381374,2396.5709257993826,119.23279675073289,2124.8435941497596,159.08855238138665,1896.9208588790145,190.80022431306685,1895.3877516675907,192.50568181454867,2152.3544460489593
776,108073,0.0,0.2832596972870396,0.0,0.3399115182890145,0.0,0.2832596972870396,0.0,0.3399115182890145,0.0,0.3399115182890145,0.0,0.2832594434550509,0.0,0.11330364200394986,0.0,0.05665182100197493,0.0,0.05665182100197493,0.0,0.05665182100197493,0.0
777,1850,114841.30787555013,2207.9908063033895,1367.3010390510171,2386.4772289193193,2459.572374544623,1705.0115819174327,5812.196826845687,1372.2950863147553,6657.964259537841,1165.3336769847065,7921.112727144344,1411.3896707077572,6021.644825990755,1498.294097759381,5932.995467280125,1827.6577387025793,4557.601848480527,1790.2390518056168,4977.995238481425,1188.2524386483733,9238.283180770519
778,20064,31889.50185600803,267.2387261888818,277.03088635457084,443.341588047479,372.4562583294425,511.2822787171173,336.8892104928525,437.91661998805296,295.2094170554042,281.9019557999347,276.5521705167312,251.71730841157213,289.21950722611956,268.8996616519762,297.2027445912338,252.35837231797396,256.79347736694,290.5752017747516,311.71940272283365,308.55315345970746,402.1019699223391
779,20134,10535.091340010287,5.308669802276541,95.37814090847898,6.63660877177447,151.55823376603536,7.560010563859881,205.75795461608703,4.905436340960089,182.85580937486856,6.924834954222596,172.0845539822368,5.7132765910582615,188.71746166966383,7.559558216554707,318.5120079763455,7.212974793593478,296.67931720776005,9.233809599748678,173.21115077762977,9.34948643274386,171.12625888064804
780,2583,20.17909786699667,0.28262613889538063,0.1130501464578572,0.3391513838469754,0.3956765428914557,0.28262613889538063,0.6217794115169584,0.2261008939437859,0.8478795327007663,0.16957564899219113,0.9609294216136854,0.16957564899219113,1.0174547524253532,0.16957564899219113,1.243557706873968,0.28262613889538063,1.2435593381313532,0.28262613889538063,1.0739838608601482,0.28262613889538063,0.8478792751003866
781,219,2574.574437112838,46.90960476609055,65.04375677075801,79.90015671633262,96.1618747454715,114.7629636895829,77.85350758553157,114.47070928455254,72.76465666920909,72.9413714434661,73.46665494298576,44.10392046758997,80.83745783870796,47.26247872107416,79.02438490719676,108.03825776257585,73.2331794918061,134.53613590840362,61.47573018374356,135.0039841580769,62.87978934338395
782,306775,0.16894932207111316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
783,306776,2849.523738815176,13.919155957078125,87.9728382631732,17.78884673909846,151.3933772599561,16.46052233344356,198.6985753330164,14.32351053775601,221.6317734467389,13.399137276836164,223.83247857081412,11.377632753013511,222.27453189894726,13.399328053896681,213.26534875018513,11.839790394914296,202.05922004084601,10.39589619848993,212.51472986656375,10.627051199599908,223.94980368324093
784,306777,2.1918148685134895,0.0,0.0,0.493160064553455,0.05485429905342495,0.493160064553455,0.1096659182893695,0.1644794740167016,0.21919518635619542,0.05485752182044666,0.383489189912104,0.49311776971032395,0.21914850551003112,0.49311776971032395,0.2191475924442037,0.6026469363272104,0.16438295840915357,0.6026469363272104,0.16438295840915357,0.6573189869283197,0.16438295840915357
