,WDPAID,1996_ext,2007_ext,2008_ext,2009_ext,2010_ext,2015_ext,2016_ext,2017_ext,2018_ext,2019_ext,2020_ext
1755,145556,5621.332558283715,5137.700295322309,4968.292874026078,4944.155032593507,4924.426779241762,4936.110153543319,4967.769414858638,4995.834852408565,4974.5491795990765,4984.758659977363,5035.134279476802
1756,555705579,138.58452170194266,134.7009792758514,133.6264424964967,133.95678531277326,134.52535383592704,135.4142071198761,135.9813442432645,136.5031213711421,136.0367403011277,135.52357769806156,135.62002176188872
1757,900616,522.1884362517494,516.6303256834651,514.3416161765465,514.0538895752935,512.962563095726,513.5143848753019,514.1490593955052,517.4111897877558,522.2895867105291,521.3689091647312,519.1893615502054
1758,900848,880.7479354412071,852.1204518574524,844.7921232322457,845.2922841612475,848.011382288098,844.2112512517746,842.4206016945051,849.6129106329086,881.8106322344265,894.4967659308377,890.9425831776977
1759,900850,340.47986894904994,338.78785037689255,332.9507976460752,331.1768335371499,330.4291994326192,329.3517360527961,329.2554681091114,332.2016245060619,335.0529111240158,333.5619683472971,332.06696284777905
1760,2247,2643.249386648583,2364.813254710262,2263.8175169342303,2266.492727212427,2245.2392636589225,2227.6582610362093,2195.7431631895797,2222.6801948776265,2226.6377064276194,2204.5834351535486,2158.4021958773023
1761,324,41.10736470904645,41.32319450064072,42.72482558474656,42.43891782652878,42.01365249425668,41.78848613421234,41.879986993593064,41.460445383143565,41.322496033601624,41.7406054180407,42.06439241194749
1762,30673,35.572790526293936,27.220046634320124,25.049306522522297,24.587460602431822,23.987046452899435,23.569967340839458,23.523781009483145,23.38522281824369,23.431406030389894,23.292852116528103,23.75470711288618
1763,30028,20294.070997902418,20559.989025797164,20547.29150887103,20501.871197572145,20486.2311848469,20458.87993050284,20409.53242519918,20401.424046368164,20507.178851313332,20541.895394839565,20501.136543651126
1764,328,87.00587455045641,87.68320908240312,86.53756153462007,86.63035368568815,87.32345127751586,86.47119399105657,86.70459967172233,86.52614315676668,86.76383282014916,88.2035555244533,88.53118670073437
1765,323,26.251540030652585,26.205111682862572,26.11225479263258,25.972969068007792,25.740826226120397,25.787254314377126,25.64796871951352,25.694397197072906,25.601539755376642,25.78725379537059,25.78725379537059
