,WDPAID,agb_tot,agb_avg,hchm_avg
111,555566546,43.26239521327874,114.512158203125,9.7221923828125
112,555566540,91.6380768238189,119.96134033203126,10.156072235107422
113,306589,641.2520032173705,23.932490771642396,5.781110152457524
114,555637560,62.81206838515838,117.05269077845982,9.976127624511719
115,555637561,177.17497662023297,144.56015014648438,12.339927673339844
116,555637563,12.39778062131712,161.45594787597656,13.753291130065918
117,555564515,64607.10601672586,92.2214189039885,7.138875797563805
118,555564516,379.1123337103752,100.0995097257653,8.060871980628189
119,555564394,398.10059274975276,92.45302220394737,7.2137900904605265
120,304066,0.0,0.0,0.0
121,555637673,1683.674436799698,123.77151824421965,10.377949444544798
122,14067,16.497895760685495,29.632359822591145,9.016056060791016
123,304753,99.44495986551235,161.45594787597656,13.753291130065918
124,348,1832.42060053586,13.152873433294078,4.597978594486037
125,555625729,4534.006591685884,8.043686423450144,4.917550135781209
126,555558368,114331.23229643557,169.80830937132401,12.574875833224414
127,4480,1319.6324002922609,33.94438710136674,6.3440947999715265
128,555576098,749364.7713231522,315.30138207757466,15.254529136944567
129,68111,6933.382228955105,38.070591517857146,10.119758450255102
130,67808,63326996.59546247,169.02197737558052,11.748522975234923
131,4476,5018874.378962174,230.21565392370417,13.59951291520572
132,4477,2684038.197447367,146.2198351164436,11.483393732884789
133,4470,646448.389887901,270.97850377386413,13.917127608406098
134,4478,2530945.5902785207,66.18659090121618,8.72745053878937
135,555576102,144681.1671615797,310.21247632575756,15.105869732481061
136,317318,477982.7521855069,175.2270218508582,11.96766286121796
137,555576109,200073.0924778022,168.33611400118906,10.901117531212842
138,555576110,1200.9687283617832,146.4492397513441,11.585984753024194
139,555576111,3641.845880197963,118.5554933739255,10.560469925232807
140,555576112,3020.9267622207153,79.50208875868056,8.933482982494214
141,9281,2341.5224131042396,67.20921855070154,8.758539316605548
142,145580,10106793.281837236,130.50426442149816,10.729796750858585
143,2228,559.120968433042,18.988681927849264,7.577033547794118
144,555592584,877.5179528691749,17.20731944298061,7.056627450463743
145,2187,4474.3733854095335,9.698140274108322,5.153131044772598
146,555592586,498.37613184915523,8.768575688844086,5.009368099558372
147,24,1891.0042058547922,19.17394808023283,7.350701889189163
148,315003,558.251851420599,7.184238390976123,4.606348753511236
149,555592587,32.2695282347138,15.186463623046874,6.739049682617187
150,555592585,1065699.582405568,16.477922279125544,6.939304292072316
151,555592841,67.07405324782042,11.597878848805147,6.124706492704504
152,316891,128.8023858264163,25.459329170093202,8.538925438596491
153,11841,83.53108563953948,24.524559020996094,8.30498809814453
154,145515,1891.0042058547922,19.17394808023283,7.350701889189163
155,555592580,541.1417445373742,27.113367914637447,8.831591585497835
