,WDPAID,0-50,50-100,100-150,150-250,250-1500
0,24,1.0,0.0,0.0,0.0,0.0
1,42,0.05431247364934048,0.1724688309341685,0.22658890294257397,0.5466297924739171,0.0
2,48,0.6726157278304518,0.23982152816508645,0.06636921360847742,0.021193530395984383,0.0
3,57,0.1859514311768799,0.1540865145667573,0.17380274263882825,0.48615931161753456,0.0
4,61,0.4881729792482949,0.390986172440243,0.10778033459792276,0.013060513713539399,0.0
5,68,0.6741674167416741,0.23942394239423942,0.081008100810081,0.0054005400540054005,0.0
6,125,0.6062179281590764,0.36261893307675863,0.03025443660466111,0.0008686123583493692,4.008980115458627e-05
7,140,0.4205835012781843,0.2512193472468316,0.12077150933953715,0.0984053129184532,0.10902032921699377
8,142,0.8032786885245902,0.19672131147540983,0.0,0.0,0.0
9,150,0.6716827544014683,0.2222486574672014,0.10166711984229489,0.004401468289035416,0.0
10,164,0.062264150943396226,0.32264150943396225,0.3264150943396226,0.19811320754716982,0.09056603773584905
11,166,0.4836722119531731,0.3111521873074553,0.10227972889710413,0.09919901417128774,0.0036968576709796672
12,180,0.9992800575953924,0.0007199424046076314,0.0,0.0,0.0
13,181,0.5469331607056158,0.31388574202945463,0.1391810972649296,0.0,0.0
14,187,0.6096787687971994,0.3343974988440961,0.04478302032189172,0.011140712036812788,0.0
15,191,0.6339947645025278,0.31486921247726957,0.040944787482764824,0.010191235537437804,0.0
16,201,0.3655269785545295,0.4155536899946577,0.2189193314508128,0.0,0.0
17,203,0.375,0.5875,0.0375,0.0,0.0
18,219,0.7477392877017252,0.22078464106844742,0.03147607122982749,0.0,0.0
19,280,0.3725640884887742,0.34032771586979194,0.16840039523521985,0.11568864247680738,0.0030191579294065983
20,281,0.26815304015426883,0.3403556374682162,0.20426116486629464,0.15901295243946142,0.028217205071758903
21,282,0.4060475161987041,0.28797696184305255,0.2735781137508999,0.032397408207343416,0.0
22,308,0.990280777537797,0.0010799136069114472,0.004319654427645789,0.004319654427645789,0.0
23,310,0.9979627017708823,0.0017238677323303557,0.0003134304967873374,0.0,0.0
24,323,0.9498207885304659,0.05017921146953405,0.0,0.0,0.0
25,324,0.22350230414746544,0.5529953917050692,0.22119815668202766,0.002304147465437788,0.0
26,328,0.15233160621761657,0.18031088082901556,0.24559585492227978,0.32746113989637304,0.09430051813471503
27,331,0.4703309135476572,0.4042236259074196,0.108211558404827,0.017233902140096163,0.0
28,336,0.9971988795518207,0.0028011204481792717,0.0,0.0,0.0
29,340,0.9388694347173587,0.056228114057028517,0.004602301150575288,0.00030015007503751874,0.0
30,342,0.65,0.35,0.0,0.0,0.0
31,348,0.9979811574697174,0.002018842530282638,0.0,0.0,0.0
32,363,0.0,0.948016415868673,0.05198358413132695,0.0,0.0
33,371,0.0,0.0,0.0,0.0,0.0
34,372,0.0,1.0,0.0,0.0,0.0
35,375,0.0,0.7253218884120172,0.21030042918454936,0.06437768240343347,0.0
36,393,0.0,0.1691364985478878,0.5857278114062616,0.24513569004585056,0.0
37,404,0.0,0.3425949260752688,0.6212932627688172,0.03611181115591398,0.0
38,405,0.0,0.2267774699907664,0.5919667590027701,0.18125577100646353,0.0
39,406,0.0,0.6024436090225563,0.34093045112781956,0.05662593984962406,0.0
40,409,0.0,0.13873626373626374,0.6663904277540641,0.19487330850967213,0.0
41,410,0.0,0.16126076598863845,0.6646509070918087,0.17408832691955287,0.0
42,431,0.0,0.7243243243243244,0.2725868725868726,0.003088803088803089,0.0
43,432,0.0,0.5439137134052389,0.4278376990241397,0.02824858757062147,0.0
44,446,0.0,0.0851063829787234,0.6170212765957447,0.2978723404255319,0.0
45,447,0.0,0.10994136460554371,0.5990138592750534,0.291044776119403,0.0
46,454,0.0,0.16206482593037214,0.7256902761104442,0.11224489795918367,0.0
47,456,0.0,0.0,0.4186046511627907,0.5813953488372093,0.0
48,458,0.0,0.05405405405405406,0.43243243243243246,0.5135135135135135,0.0
49,462,0.0,0.4041525336622469,0.4954260458423271,0.10042142049542604,0.0
50,503,0.0,0.9131844380403458,0.08645533141210375,0.00036023054755043225,0.0
51,563,0.0,0.8651685393258427,0.1348314606741573,0.0,0.0
52,666,0.45722254419008984,0.23945957693422196,0.11062011011301072,0.09276296725586787,0.09993480150680963
53,709,0.8671245447506524,0.1328754552493476,0.0,0.0,0.0
54,747,0.0,0.15754365312929175,0.6530311948204827,0.18942515205022561,0.0
55,788,0.0,0.0,0.0,0.0,0.0
56,792,0.0,0.09350850077279753,0.18856259659969088,0.3106646058732612,0.4072642967542504
57,797,1.0,0.0,0.0,0.0,0.0
58,864,0.6463565253190613,0.35364347468093865,0.0,0.0,0.0
59,866,0.798162821409151,0.20183717859084907,0.0,0.0,0.0
60,868,0.523192645215211,0.476807354784789,0.0,0.0,0.0
61,899,0.9883381924198251,0.008746355685131196,0.0029154518950437317,0.0,0.0
62,902,0.7413189771197847,0.17927321668909826,0.07940780619111709,0.0,0.0
63,928,0.0,0.08763144717075613,0.2921882824236354,0.6201802704056084,0.0
64,971,0.784430573503169,0.21556942649683097,0.0,0.0,0.0
65,1024,0.812718652934445,0.18728134706555502,0.0,0.0,0.0
66,1069,0.9811320754716981,0.018867924528301886,0.0,0.0,0.0
67,1151,0.0,0.0625,0.25,0.6875,0.0
68,1242,0.2913424124513619,0.17217898832684825,0.181420233463035,0.2174124513618677,0.13764591439688717
69,1244,0.16124917033220462,0.24272873519253918,0.15967195779100246,0.13111563600364493,0.3052345006806088
70,1252,0.0,0.3155080213903743,0.43315508021390375,0.23885918003565063,0.012477718360071301
71,1254,0.0,0.04216867469879518,0.5421686746987951,0.41566265060240964,0.0
72,1256,0.0,0.041825615744272945,0.20775867128352604,0.44730715808830723,0.3031085548838938
73,1268,0.0,0.650503018108652,0.30482897384305835,0.034004024144869215,0.010663983903420523
74,1275,0.0,0.5059431524547804,0.42118863049095606,0.0702842377260982,0.002583979328165375
75,1342,0.40476190476190477,0.34523809523809523,0.16666666666666666,0.047619047619047616,0.03571428571428571
76,1490,0.0,0.01575299306868305,0.575299306868305,0.4020163831127914,0.006931316950220542
77,1499,0.0,0.18211842415664073,0.27423920736022644,0.296414248643548,0.24722811983958481
78,1500,0.0,0.0037511011244677674,0.040338623403032584,0.3196188303335666,0.6362914451389331
79,1850,0.9806031427580071,0.016927528092163087,0.00246932914982982,0.0,0.0
80,1900,0.0,0.08730722100830006,0.22054432181847744,0.5603746723401555,0.13177378483306698
81,1917,0.0,0.0836603638958259,0.3731716018551552,0.4928647877274349,0.050303246521584015
82,1928,0.0,0.3114907246763646,0.2125984251968504,0.25316962498331774,0.22274122514346723
83,1937,0.0,0.036461715199041005,0.15021727186454223,0.5252984366415264,0.28802257629489036
84,1939,0.0,0.6072572038420491,0.39167556029882605,0.0010672358591248667,0.0
85,1967,0.0,0.17162108600871978,0.5410225921521997,0.2794292508917955,0.007927070947284977
86,1968,0.0,0.2792207792207792,0.551948051948052,0.16883116883116883,0.0
87,2012,0.7840594379542547,0.2159405620457453,0.0,0.0,0.0
88,2077,0.8554438213111584,0.14455617868884163,0.0,0.0,0.0
89,2102,0.0,0.07744616547034379,0.4365319229316207,0.4573101624480544,0.02871174914998111
90,2187,1.0,0.0,0.0,0.0,0.0
91,2213,0.47674418604651164,0.5232558139534884,0.0,0.0,0.0
92,2219,0.08911687278329397,0.3299135749172571,0.1320585422010039,0.44891101009844503,0.0
93,2228,1.0,0.0,0.0,0.0,0.0
94,2234,0.9805036555645816,0.019090170593013808,0.00040617384240454913,0.0,0.0
95,2238,0.13643885229011207,0.3455791799792549,0.24037590933216774,0.2776060583984653,0.0
96,2245,0.8688935700672084,0.11370247768081052,0.015197111044237136,0.002206841207744006,0.0
97,2246,0.9983183856502242,0.0016816143497757848,0.0,0.0,0.0
98,2247,0.9434909800097513,0.05007313505607021,0.00560702096538274,0.0007313505607020966,9.751340809361287e-05
99,2250,0.12088274044795784,0.11396574440052701,0.1673254281949934,0.3409090909090909,0.25691699604743085
100,2289,0.5519607452028563,0.3664179997606415,0.07555750588423027,0.0060637491522719114,0.0
101,2290,0.7915639195327709,0.2045425048669695,0.003763789746917586,0.00012978585334198572,0.0
102,2349,0.0,0.011162286643186128,0.15491736656732594,0.49135735573015443,0.3425629910593335
103,2395,0.0,0.8654970760233918,0.05847953216374269,0.07602339181286549,0.0
104,2410,0.0,0.9871437754446111,0.012856224555388901,0.0,0.0
105,2571,0.0,0.4430307672666922,0.45282267330524706,0.10414655942806077,0.0
106,2572,0.0,0.1696656700190269,0.5843109540636042,0.24602337591736886,0.0
107,2583,0.463302752293578,0.26146788990825687,0.27522935779816515,0.0,0.0
108,2591,0.288117770767613,0.27129337539432175,0.25173501577287066,0.18885383806519454,0.0
109,2605,0.0,0.48727272727272725,0.3878787878787879,0.12484848484848485,0.0
110,2612,0.0,0.38095238095238093,0.0,0.6190476190476191,0.0
111,2627,0.0,0.936045001039285,0.06269486593223862,0.0012601330284764082,0.0
112,2628,0.0,0.6223619090960806,0.3059047727402014,0.07173331816371807,0.0
113,2630,0.0,0.46194379391100704,0.4834309133489461,0.054625292740046835,0.0
114,2632,0.0,0.07563025210084033,0.7605042016806722,0.1638655462184874,0.0
115,2641,0.0,0.522306908102335,0.47206175057041605,0.005631341327248895,0.0
116,2645,0.0,0.9876476422324407,0.012352357767559283,0.0,0.0
117,2646,0.0,0.9875222816399287,0.012477718360071301,0.0,0.0
118,2648,0.0,0.823841059602649,0.17350993377483442,0.0026490066225165563,0.0
119,2650,0.0,0.9247555729370356,0.06843957763003519,0.006804849432929214,0.0
120,2652,0.0,0.837995337995338,0.16171328671328672,0.0002913752913752914,0.0
121,2653,0.0,0.8322328931572629,0.16716686674669867,0.0006002400960384153,0.0
122,2654,0.0,0.8409947249434815,0.12057272042200452,0.03843255463451394,0.0
