,WDPAID,0-700,700-1400,1400-2100,2100-2800,2800-3500,3500-
0,24,0.42641843971631205,0.5345744680851063,0.038120567375886524,0.0008865248226950354,0.0,0.0
1,42,0.00012069786513584297,0.5301380915848787,0.46403038279410597,0.005661225893494881,4.9601862384593e-05,0.0
2,48,0.0016722408026755853,0.9754738015607581,0.022853957636566332,0.0,0.0,0.0
3,57,0.023982033526722457,0.868665996997949,0.10705405601536928,0.00029791345995928514,0.0,0.0
4,61,0.03308444371106802,0.9634709789200115,0.003444577368920424,0.0,0.0,0.0
5,68,0.0446584938704028,0.9518388791593695,0.0035026269702276708,0.0,0.0,0.0
6,125,0.022805344757774845,0.4672613994070088,0.47140841943025824,0.038524836404958136,0.0,0.0
7,140,0.0070416749797551845,0.6859389486779255,0.2958653631743871,0.011053082493222387,0.0001009306747098243,0.0
8,142,0.0,0.9797979797979798,0.020202020202020204,0.0,0.0,0.0
9,150,0.014323108829217899,0.715378700201176,0.26823205921875365,0.0020661317508524736,0.0,0.0
10,164,0.005454545454545455,0.4163636363636364,0.5781818181818181,0.0,0.0,0.0
11,166,0.0085995085995086,0.9711302211302212,0.02027027027027027,0.0,0.0,0.0
12,180,0.0912621359223301,0.8483392948390394,0.06029637199795605,0.00010219724067450178,0.0,0.0
13,181,0.0,0.49331839641513964,0.47531407537809073,0.03136752820676963,0.0,0.0
14,187,0.19517827851161185,0.6189027022360356,0.17696192696192697,0.008957092290425624,0.0,0.0
15,191,0.20788333869228878,0.6117342210285411,0.16678330275576403,0.013561309602617692,3.782792078833387e-05,0.0
16,201,0.012624835123421895,0.8903712078387036,0.09700395703787451,0.0,0.0,0.0
17,203,0.0,0.8556701030927835,0.14432989690721648,0.0,0.0,0.0
18,219,0.35287470465363147,0.6308940862240181,0.016231209122350442,0.0,0.0,0.0
19,280,0.00021465215618090883,0.6363470496061133,0.3499044797904995,0.013394294545688712,0.00013952390151759073,0.0
20,281,5.927711557555609e-05,0.7212296049674223,0.2689254540874041,0.009731326473653792,5.4337355944259756e-05,0.0
21,282,0.011307420494699646,0.35300353356890457,0.611660777385159,0.02402826855123675,0.0,0.0
22,308,0.14841628959276018,0.8506787330316742,0.0009049773755656109,0.0,0.0,0.0
23,310,0.04966373512674599,0.9004138644593895,0.04992240041386446,0.0,0.0,0.0
24,323,0.014336917562724014,0.5806451612903226,0.4050179211469534,0.0,0.0,0.0
25,324,0.1592920353982301,0.8407079646017699,0.0,0.0,0.0,0.0
26,328,0.0,0.4415718717683557,0.5584281282316442,0.0,0.0,0.0
27,331,0.018658598083711547,0.600100857286939,0.3806428718178592,0.0005976728114902598,0.0,0.0
28,336,0.0806431964916555,0.8428554026068948,0.07601413083201364,0.0004872700694359849,0.0,0.0
29,340,0.10963923337091319,0.8680947012401353,0.022266065388951522,0.0,0.0,0.0
30,342,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0
31,348,0.8838878016960209,0.11611219830397912,0.0,0.0,0.0,0.0
32,363,0.0,0.9799465240641712,0.020053475935828877,0.0,0.0,0.0
33,371,0.0,0.0,0.0,0.0,0.0,0.0
34,372,0.6837606837606838,0.3162393162393162,0.0,0.0,0.0,0.0
35,375,0.1,0.9,0.0,0.0,0.0,0.0
36,393,0.09530073814222027,0.6908885895950136,0.21306939789728652,0.0007412743654795837,0.0,0.0
37,404,0.12962827569639557,0.8619637989200255,0.008407925383578957,0.0,0.0,0.0
38,405,9.233610341643582e-05,0.6085872576177286,0.39132040627885506,0.0,0.0,0.0
39,406,0.007879490150637311,0.9914252607184241,0.0006952491309385864,0.0,0.0,0.0
40,409,0.0028367351551728034,0.8047060419068285,0.19244592120431275,1.1301733685947424e-05,0.0,0.0
41,410,0.1982137975029618,0.7200400984234029,0.08101704182994623,0.000729062243689055,0.0,0.0
42,431,0.1768759571209801,0.8200612557427259,0.0030627871362940277,0.0,0.0,0.0
43,432,0.02613240418118467,0.9738675958188153,0.0,0.0,0.0,0.0
44,446,0.2127659574468085,0.7872340425531915,0.0,0.0,0.0,0.0
45,447,0.0010643959552953698,0.8392762107503992,0.15965939329430548,0.0,0.0,0.0
46,454,0.0007977662544874351,0.5095731950538492,0.48962903869166335,0.0,0.0,0.0
47,456,0.0,1.0,0.0,0.0,0.0,0.0
48,458,0.0945945945945946,0.9054054054054054,0.0,0.0,0.0,0.0
49,462,0.00010270631130282956,0.7605915883531043,0.23930570533559287,0.0,0.0,0.0
50,503,0.07860752386299831,0.9107243121841662,0.010668163952835485,0.0,0.0,0.0
51,563,0.19413919413919414,0.8058608058608059,0.0,0.0,0.0,0.0
52,666,0.00046865424132088395,0.6724106853167021,0.32124445726233825,0.005840152853383323,3.6050326255452615e-05,0.0
53,709,0.9170885913284844,0.08291140867151559,0.0,0.0,0.0,0.0
54,747,0.018204464884545368,0.7266455878125898,0.2532336878413337,0.0019162594615310914,0.0,0.0
55,788,0.0,0.0,0.0,0.0,0.0,0.0
56,792,0.0015267175572519084,0.20229007633587787,0.76793893129771,0.02748091603053435,0.0007633587786259542,0.0
57,797,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0
58,864,0.8620199146514936,0.1379800853485064,0.0,0.0,0.0,0.0
59,866,0.009912637648737777,0.9886988216689487,0.001388540682313463,0.0,0.0,0.0
60,868,0.03918192727083007,0.96081807272917,0.0,0.0,0.0,0.0
61,899,0.6089108910891089,0.3910891089108911,0.0,0.0,0.0,0.0
62,902,0.11190476190476191,0.7502645502645503,0.12354497354497354,0.014285714285714285,0.0,0.0
63,928,0.0009942828734775043,0.6234153616703952,0.37335321899080287,0.0022371364653243847,0.0,0.0
64,971,0.0025194725497557713,0.3620296555767947,0.5618932000287141,0.07279090347167563,0.0007648625693156704,1.9058037441420358e-06
65,1024,0.001974459412120633,0.36482914556861246,0.5925607464730422,0.040635648546224645,0.0,0.0
66,1069,0.0,0.35,0.65,0.0,0.0,0.0
67,1151,0.0625,0.9375,0.0,0.0,0.0,0.0
68,1242,0.0009699321047526673,0.25460717749757517,0.7036857419980601,0.040737148399612025,0.0,0.0
69,1244,0.00047001421233451584,0.633473964569881,0.3568571716335232,0.009198849584261239,0.0,0.0
70,1252,0.0035211267605633804,0.7834507042253521,0.2130281690140845,0.0,0.0,0.0
71,1254,0.0,0.0,0.8674698795180723,0.13253012048192772,0.0,0.0
72,1256,0.00040644112410002323,0.10261670666563444,0.7910311991948595,0.10553921189130604,0.00040644112410002323,0.0
73,1268,0.014734022196708763,0.432070417145044,0.55185610409491,0.0013394565633371603,0.0,0.0
74,1275,0.0004935834155972359,0.4299111549851925,0.5695952615992103,0.0,0.0,0.0
75,1342,0.03571428571428571,0.9523809523809523,0.011904761904761904,0.0,0.0,0.0
76,1490,0.0,0.1824773413897281,0.8084592145015106,0.00906344410876133,0.0,0.0
77,1499,0.00023482446870963955,0.21181167077609486,0.7859574967711636,0.001996007984031936,0.0,0.0
78,1500,1.069947840042798e-05,0.08404065801792163,0.8953788952788552,0.020568677276982746,1.0699478400427978e-06,0.0
79,1850,0.494736939353651,0.49241721167389096,0.012776979432363812,6.886954009425049e-05,0.0,0.0
80,1900,0.00017392885519236926,0.6709582294042541,0.32883621831233667,3.162342821679441e-05,0.0,0.0
81,1917,0.0028500178126113287,0.5477377983612397,0.4492340577128607,0.00017812611328820805,0.0,0.0
82,1928,0.00476248626205886,0.6296251068506533,0.364147026498962,0.001465380388325803,0.0,0.0
83,1937,0.00019777503090234857,0.06571075401730532,0.9129789864029666,0.02111248454882571,0.0,0.0
84,1939,0.0009881422924901185,0.3774703557312253,0.6205533596837944,0.0009881422924901185,0.0,0.0
85,1967,0.029342723004694836,0.48043818466353677,0.4902190923317684,0.0,0.0,0.0
86,1968,0.12661498708010335,0.8552971576227391,0.01808785529715762,0.0,0.0,0.0
87,2012,0.0025945207925795566,0.3624736162503,0.561506987854451,0.0726529149254289,0.0007694270839600101,2.533093280526782e-06
88,2077,0.9217355051107693,0.07826449488923072,0.0,0.0,0.0,0.0
89,2102,0.11249535143175902,0.8077352175529937,0.0797694310152473,0.0,0.0,0.0
90,2187,0.07281950580919654,0.5549009981999673,0.3593519882179676,0.012927507772868597,0.0,0.0
91,2213,0.10112359550561797,0.898876404494382,0.0,0.0,0.0,0.0
92,2219,0.003523447401774398,0.7559780312632024,0.2396958174904943,0.0008027038445289396,0.0,0.0
93,2228,0.02601156069364162,0.4161849710982659,0.5549132947976878,0.002890173410404624,0.0,0.0
94,2234,0.046000686577411604,0.8959835221421215,0.058015791280466876,0.0,0.0,0.0
95,2238,0.033516877328976284,0.9583102629514011,0.008172859719622677,0.0,0.0,0.0
96,2245,0.00666535005431026,0.8052236595240446,0.18662980152068728,0.0014811889009578355,0.0,0.0
97,2246,0.325922182920667,0.6730672056594239,0.001010611419909045,0.0,0.0,0.0
98,2247,0.027716288507655413,0.8828168234643055,0.08946688802803911,0.0,0.0,0.0
99,2250,0.0032605151613955006,0.28105640691229217,0.7124225627649169,0.0032605151613955006,0.0,0.0
100,2289,0.5583519463943841,0.4416480536056158,0.0,0.0,0.0,0.0
101,2290,0.14938670109748226,0.8506132989025178,0.0,0.0,0.0,0.0
102,2349,0.0016689996769678045,0.3034887477118553,0.6869279638203941,0.007914288790782814,0.0,0.0
103,2395,0.0,0.9888888888888889,0.011111111111111112,0.0,0.0,0.0
104,2410,0.07590361445783132,0.9224899598393574,0.001606425702811245,0.0,0.0,0.0
105,2571,0.03581381124227782,0.9105608905743471,0.05362040491773197,4.893265643158603e-06,0.0,0.0
106,2572,0.0986261145404664,0.7002743484224966,0.20060656721536352,0.0004929698216735253,0.0,0.0
107,2583,0.13761467889908258,0.8623853211009175,0.0,0.0,0.0,0.0
108,2591,0.07043734230445753,0.9217830109335576,0.007779646761984861,0.0,0.0,0.0
109,2605,0.2021531100478469,0.7978468899521531,0.0,0.0,0.0,0.0
110,2612,0.7415730337078652,0.25842696629213485,0.0,0.0,0.0,0.0
111,2627,0.04624831250272177,0.9535121717545617,0.00023951574271654401,0.0,0.0,0.0
112,2628,0.09833459685505368,0.8885818395245898,0.013083563620356557,0.0,0.0,0.0
113,2630,0.0025530927236857375,0.9974469072763142,0.0,0.0,0.0,0.0
114,2632,0.2647058823529412,0.7352941176470589,0.0,0.0,0.0,0.0
115,2641,0.009301014656144307,0.9884441939120632,0.002254791431792559,0.0,0.0,0.0
116,2645,0.01267795169629577,0.9811601388200297,0.006161909483674481,0.0,0.0,0.0
117,2646,0.027804410354745925,0.9664429530201343,0.005752636625119847,0.0,0.0,0.0
118,2648,0.010062893081761006,0.7572327044025158,0.23270440251572327,0.0,0.0,0.0
119,2650,0.0013970588235294118,0.9584558823529412,0.04014705882352941,0.0,0.0,0.0
120,2652,0.0031967451322290033,0.996803254867771,0.0,0.0,0.0,0.0
121,2653,0.02,0.9780821917808219,0.0019178082191780822,0.0,0.0,0.0
122,2654,0.006887052341597796,0.9924242424242424,0.0006887052341597796,0.0,0.0,0.0
123,2669,0.1896551724137931,0.8103448275862069,0.0,0.0,0.0,0.0
124,2670,0.07470288624787776,0.9252971137521222,0.0,0.0,0.0,0.0
