,WDPAID,soil_c_tot,soil_c_avg,tot_c_tot,tot_c_avg,tot_co2_tot,tot_co2_avg
910,108043,5454160.993492672,194.70152959489533,5532965.164957089,197.51447261780712,20305982.16668726,724.8782113130845
911,20062,20935574.46976331,196.0434918813867,21194387.60826389,198.46502651052904,77783402.55689923,728.3667280052475
912,68918,611942.1646286321,204.526867665028,622542.0804405538,208.06584602597255,2284729.433967145,763.6017021397516
913,903003,9.855364305460213,112.0,10.223617651849077,116.18496704101562,37.520677238799635,426.3988342285156
914,903008,1300.1647728568498,212.0597014925373,1490.5506165688355,243.11208605410448,5470.320751148334,892.2213736007462
915,145509,2873439.9066411825,265.99922830912186,2909802.6122065927,269.3564066351637,10678975.579379039,988.5380857743486
916,61409,982746.5154951327,207.3769465374955,1000087.6556585383,211.03321381217484,3670321.6939909304,774.4918900111006
917,903009,10788610.903393798,339.29828661110196,12142429.58382937,381.8745438127303,44562716.56666068,1401.479313259651
918,903012,88562.21013831755,197.6656942823804,91199.63543165532,203.54981342376507,334702.66212377656,747.0278709646052
919,903013,261754.06432713172,296.3751276291607,298951.71670764964,338.49282085971004,1097152.7998894441,1242.2686721462119
920,903016,2625322.555420329,253.37573773916677,2788092.892985629,269.08563867755356,10232300.91463563,987.5442121206845
921,902543,9305306.34190052,207.82178591655654,9709502.538289517,216.8500541518039,35633874.31748257,795.8398696382262
922,902601,1849887.998246273,215.70068104426787,1915980.7768667738,223.40747084924158,7031649.4525318835,819.9054380352904
923,220034,20935528.28653368,196.0433878102594,21194341.360833008,198.46492314747235,77783232.82882519,728.3663523584038
924,12465,433580.93131879764,368.3304834682606,447952.08935115224,380.5376787470682,1643984.1666385597,1396.5732011802982
925,900569,4729748.988908537,318.514470673322,4932775.146544107,332.1904840947085,18103284.777121816,1219.1389919732521
926,900763,6036304.963226536,327.9157275470833,6196421.383604457,336.61181571608665,22740866.463623323,1235.365511708752
927,900764,3856510.119279933,354.1729950607656,4007578.498980023,368.0462647039709,14707813.081549805,1350.7297718853579
928,900765,4902121.663359235,259.1432827483475,5130634.36435659,271.2203333022996,18829428.112363134,995.3784563820873
929,900766,4155669.042525419,233.32817860822422,4411420.910616522,247.68729556980384,16189914.740371943,909.0123133245976
930,901221,193802.74110056637,247.97941176470587,201779.238197909,258.185350678733,740529.8039261798,947.5403280542987
931,12463,9251.298080768378,226.3457330415755,10455.709755659816,255.81352571115974,38372.4547423414,938.835612691466
932,12464,3957355.8423900553,313.03749258315594,4127679.257809528,326.5113538794457,15148582.867525542,1198.2966877246868
933,198339,4729748.988908537,318.514470673322,4932775.146544107,332.1904840947085,18103284.777121816,1219.1389919732521
934,198340,6036304.963226536,327.9157275470833,6196421.383604457,336.61181571608665,22740866.463623323,1235.365511708752
935,555624218,860301.7011054822,312.92547999743147,883884.2953261551,321.5030822577538,3243855.3612850267,1179.9162332241701
