,WDPAID,0-50,50-100,100-150,150-250,250-1500
0,24,0.03723404255319149,0.16134751773049646,0.11790780141843972,0.2526595744680851,0.4308510638297872
1,42,0.0,0.0,1.6533954128197666e-05,0.00715920213750959,0.9928242639083622
2,48,0.0,0.0,0.0,0.13768115942028986,0.8623188405797102
3,57,0.0,3.819403332811348e-06,0.00169963448310105,0.21479942403397742,0.7834971220795888
4,61,0.00012375727073965596,0.002702033744482488,0.006022853842663257,0.3888040922404191,0.6023472629016955
5,68,0.0,0.016637478108581436,0.009632224168126095,0.2224168126094571,0.7513134851138353
6,125,0.0,6.530740194093599e-06,0.0014302321025064981,0.11480388187197137,0.883759355285328
7,140,0.0,4.2250049878531105e-05,0.0004154588238055559,0.07277571091576983,0.926766580210546
8,142,0.0,0.0,0.0,0.0,1.0
9,150,0.0,0.0001708830771381745,0.0016855285335901757,0.13926194045501503,0.8588816479342566
10,164,0.0,0.0,0.0036363636363636364,0.012727272727272728,0.9836363636363636
11,166,0.0,0.0,0.0006142506142506142,0.21437346437346438,0.785012285012285
12,180,0.0,0.015533980582524271,0.02330097087378641,0.3938681655595299,0.5672968829841595
13,181,0.0,0.0,0.0,0.01632391774025766,0.9836760822597423
14,187,0.0012302512302512303,0.02171285504618838,0.07267115600448934,0.29355521022187686,0.6108305274971941
15,191,0.0012294074256208507,0.022885892076941992,0.07637457207164608,0.3035123224451968,0.5959978059805943
16,201,0.0,0.00022611644997173544,0.0014697569248162804,0.14659883173167515,0.8517052948935369
17,203,0.0,0.0,0.0,0.0,1.0
18,219,0.0,0.0013012361743656475,0.09344930315378557,0.6144231757011266,0.29082628497072216
19,280,0.0,0.0,0.0,0.008307038444201172,0.9916929615557988
20,281,0.0,0.0,0.0,0.021112532664160563,0.9788874673358394
21,282,0.0,0.0,0.005653710247349823,0.02120141342756184,0.9731448763250884
22,308,0.013574660633484163,0.028054298642533938,0.04072398190045249,0.285972850678733,0.6316742081447964
23,310,0.0009053285049146404,0.013838592860838075,0.011510605276771857,0.2510346611484739,0.7227108122090016
24,323,0.0,0.0,0.007168458781362007,0.021505376344086023,0.9713261648745519
25,324,0.0,0.0,0.01991150442477876,0.672566371681416,0.3075221238938053
26,328,0.0,0.0,0.0,0.017580144777662874,0.9824198552223371
27,331,1.867727535907062e-05,0.0005229637100539773,0.003175136811042005,0.12074858519639155,0.8755346370071534
28,336,0.0004872700694359849,0.004019978072846876,0.013034474357412595,0.35424534047996104,0.6282129370203435
29,340,0.0,0.008173618940248028,0.02790304396843292,0.46909056745584365,0.4948327696354754
30,342,0.0,0.0,0.0,0.09523809523809523,0.9047619047619048
31,348,0.0,0.13372472276581865,0.4474885844748858,0.3972602739726027,0.021526418786692758
32,363,0.0,0.0,0.0,0.05481283422459893,0.9451871657754011
33,371,0.0,0.0,0.0,0.0,0.0
34,372,0.0,0.0,0.11965811965811966,0.8803418803418803,0.0
35,375,0.0,0.0,0.008333333333333333,0.8458333333333333,0.14583333333333334
36,393,4.176193608335683e-05,0.01275827147346551,0.03710548021006254,0.16983535356699136,0.7802591328133972
37,404,3.1333883417064436e-05,0.008052808038185559,0.05126223327031741,0.27500705012376886,0.6656465746843111
38,405,0.0,0.0,0.0,0.001569713758079409,0.9984302862419205
39,406,0.0,0.0002317497103128621,0.0009269988412514484,0.14438006952491308,0.8544611819235226
40,409,0.0,7.911213580163197e-05,0.0006781040211568455,0.047862842159987345,0.9513799416830542
41,410,0.0005467966827667912,0.029982684771712384,0.0783741911965734,0.2671101795315775,0.6239861478173699
42,431,0.0,0.020673813169984685,0.07427258805513016,0.32542113323124044,0.5796324655436447
43,432,0.0,0.0,0.006968641114982578,0.3556495769039323,0.6373817819810851
44,446,0.0,0.0,0.06382978723404255,0.5319148936170213,0.40425531914893614
45,447,0.0,0.0,0.00013304949441192123,0.028605641298563064,0.971261309207025
46,454,0.0,0.0,0.0,0.002991623454327882,0.9970083765456721
47,456,0.0,0.0,0.0,0.13953488372093023,0.8604651162790697
48,458,0.0,0.0,0.0,0.2972972972972973,0.7027027027027027
49,462,0.0,0.0,0.0,0.008575976993786268,0.9914240230062137
50,503,0.0,0.004828747894441325,0.02459292532285233,0.27557551937113983,0.6950028074115665
51,563,0.0,0.003663003663003663,0.040293040293040296,0.46886446886446886,0.48717948717948717
52,666,0.0,0.0,0.00010815097876635784,0.019755578787988032,0.9801362702332456
53,709,0.018286257678172144,0.09415559382148089,0.34441902901642296,0.539271119792336,0.0038679996915880646
54,747,0.0,0.0,0.0031618281115263006,0.1522468142186452,0.8445913576698285
55,788,0.0,0.0,0.0,0.0,0.0
56,792,0.0,0.0,0.0,0.003816793893129771,0.9961832061068703
57,797,0.0,0.09803921568627451,0.29411764705882354,0.6078431372549019,0.0
58,864,0.08211560843139791,0.14522177680072418,0.3518686150265098,0.41135393766972717,0.009440062071641019
59,866,0.0,0.000501417468613195,0.0026999402156095116,0.27782384818621875,0.7189747941295586
60,868,0.0,0.0,0.0003130380341211457,0.6534147232222048,0.346272238743674
61,899,0.0,0.19801980198019803,0.17326732673267325,0.594059405940594,0.034653465346534656
62,902,0.0,0.021164021164021163,0.03571428571428571,0.32063492063492066,0.6224867724867725
63,928,0.0,0.0,0.0,0.01391996022868506,0.986080039771315
64,971,0.0,8.893750805996167e-06,0.0006416205938611521,0.03105951888619747,0.9682899667691354
65,1024,0.0,0.0,0.00012738447820133118,0.057864399222954686,0.942008216298844
66,1069,0.0,0.0,0.0,0.0,1.0
67,1151,0.0,0.0,0.0,0.875,0.125
68,1242,0.0,0.0,0.0,0.006789524733268671,0.9932104752667313
69,1244,0.0,0.0,6.71448874763594e-05,0.025194999944045927,0.9747378551684777
70,1252,0.0,0.0,0.0035211267605633804,0.051056338028169015,0.9454225352112676
71,1254,0.0,0.0,0.0,0.0,1.0
72,1256,0.0,0.0,7.7417356971433e-05,0.005128899899357436,0.9947936827436711
73,1268,0.0,0.0003827018752391887,0.0036356678147722926,0.0472636815920398,0.9487179487179487
74,1275,0.0,0.0,0.0,0.0009871668311944718,0.9990128331688055
75,1342,0.0,0.0,0.0,0.2619047619047619,0.7380952380952381
76,1490,0.0,0.0,0.0,0.013293051359516616,0.9867069486404834
77,1499,0.0,0.0,0.0,0.003052718093225314,0.9969472819067747
78,1500,0.0,0.0,8.559582720342383e-06,0.0002514377424100575,0.9997400026748696
79,1850,0.0001234612487055466,0.017833851394650182,0.20175415757854698,0.6114456136402003,0.16884291613789698
80,1900,0.0,0.0,3.952928527099302e-06,0.015199010186696815,0.984797036884776
81,1917,0.0,0.0,0.0,0.04025650160313502,0.959743498396865
82,1928,0.0,0.00012211503236048357,0.0012211503236048357,0.021003785566003175,0.9776529490780315
83,1937,0.0,0.0,2.4721878862793572e-05,0.000519159456118665,0.9994561186650185
84,1939,0.0,0.0,0.0,0.023715415019762844,0.9762845849802372
85,1967,0.0,0.001564945226917058,0.009780907668231613,0.09194053208137715,0.8967136150234741
86,1968,0.0,0.007751937984496124,0.028423772609819122,0.3643410852713178,0.599483204134367
87,2012,0.0,9.499099801975432e-06,0.0006833019124220994,0.031112718218070202,0.9681944807697057
88,2077,0.012047326729826478,0.09294268175218161,0.3550654839776305,0.536034158052876,0.003910349487485444
89,2102,0.0001859427296392711,0.002231312755671253,0.0462997396801785,0.238006693938267,0.713276310896244
90,2187,0.0,0.004090983472426772,0.03632793323514973,0.1750940926198658,0.7844869906725577
91,2213,0.0,0.0,0.0,0.5168539325842697,0.48314606741573035
92,2219,0.0,3.3798056611744823e-05,0.00039712716518800167,0.12463878326996197,0.8749302915082383
93,2228,0.0,0.0,0.005780346820809248,0.05202312138728324,0.9421965317919075
94,2234,0.0,0.0010298661174047373,0.008582217645039478,0.29042224510813597,0.6999656711294199
95,2238,0.0,1.3587464205523984e-05,0.0006589920139679132,0.39438633916348775,0.6049410813583388
96,2245,9.874592673052236e-05,0.0016786807544188801,0.002123037424706231,0.055347091932457786,0.9407524439616866
97,2246,0.01667508842849924,0.04194037392622536,0.08185952501263265,0.6690247599797877,0.19050025265285497
98,2247,0.0001383508577753182,0.0021213798192215457,0.00825493451392732,0.14121010883600812,0.8482752259730677
99,2250,0.0,0.0,0.0,0.04466905771111836,0.9553309422888816
100,2289,0.0,3.98851308232291e-05,0.019783024888321635,0.9661774090619017,0.013999680918953414
101,2290,0.0,0.0,0.007359586830213041,0.8908973531310523,0.10174306003873466
102,2349,0.0,0.0004307095940562076,0.0004307095940562076,0.007591256595240659,0.9915473242166469
103,2395,0.0,0.0,0.0,0.39444444444444443,0.6055555555555555
104,2410,0.0,0.0036144578313253013,0.01144578313253012,0.5646586345381526,0.420281124497992
105,2571,0.00041592757966848126,0.0043892592819132666,0.009669092910881399,0.25257079943727445,0.7329549207902624
106,2572,4.286694101508916e-05,0.01338520233196159,0.03831232853223594,0.17522933813443073,0.7730302640603567
107,2583,0.0,0.0,0.01834862385321101,0.43119266055045874,0.5504587155963303
108,2591,0.0,0.0018923465096719932,0.0372161480235492,0.16421362489486963,0.7966778805719091
109,2605,0.0,0.0,0.008373205741626795,0.8744019138755981,0.11722488038277512
110,2612,0.0,0.011235955056179775,0.6741573033707865,0.21348314606741572,0.10112359550561797
111,2627,0.0,1.0887079214388364e-05,0.003233462526673344,0.44298436615424813,0.5537712842398641
112,2628,0.0010515761414492187,0.012912376806632266,0.027365434936783156,0.4734049057249762,0.4852657063901592
113,2630,0.0,0.0,5.8024834629221305e-05,0.25339445282580947,0.7465475223395613
114,2632,0.0,0.0,0.15126050420168066,0.47058823529411764,0.37815126050420167
115,2641,0.0,0.0008455467869222097,0.0018789928598271326,0.1555806087936866,0.841694851559564
116,2645,0.0,0.0,0.0001416530915787237,0.23953537785962178,0.7603229690487995
117,2646,0.0,0.0,0.0009587727708533077,0.3077660594439118,0.6912751677852349
118,2648,0.0,0.0025157232704402514,0.0037735849056603774,0.011320754716981131,0.9823899371069182
119,2650,0.0,0.0,0.00022058823529411765,0.06375,0.9360294117647059
120,2652,0.0,0.0,0.0,0.15402499273467016,0.8459750072653298
121,2653,0.0,0.003561643835616438,0.005753424657534247,0.20684931506849316,0.7838356164383562
122,2654,0.0,0.0,0.0013774104683195593,0.162534435261708,0.8360881542699724
123,2669,0.0,0.05172413793103448,0.08620689655172414,0.7586206896551724,0.10344827586206896
124,2670,0.0,0.0,0.005659309564233163,0.8160724391624222,0.17826825127334464
125,2688,0.0,0.0015515595162316996,0.08987110120942075,0.8471514958625079,0.06142584341183959
126,2710,0.0,0.0027573529411764708,0.36121323529411764,0.6355698529411765,0.00045955882352941176
127,2849,0.0,0.0,0.0,0.0,1.0
128,2850,0.0,0.0,0.0,0.0061902082160945416,0.9938097917839055
129,2851,0.0,0.0,0.0016997167138810198,0.5410764872521246,0.4572237960339943
130,2854,0.0,0.0,0.0,0.035545023696682464,0.9644549763033176
131,2860,0.0,0.0,0.0,0.1481322455989695,0.8518677544010305
132,2861,0.028185554903112156,0.08103347034644745,0.042278332354668234,0.45038167938931295,0.3981209630064592
133,3038,0.0,0.0015682374541003672,0.007751937984496124,0.224640452876377,0.7660393716850266
134,3044,3.3795258187323738e-06,0.00016390700220852012,0.0008347428772268963,0.3447538775834363,0.6542440930113096
135,3217,0.0,0.0,0.052083333333333336,0.9270833333333334,0.020833333333333332
136,3311,0.0,0.00021915406530791147,0.00021915406530791147,0.3922857769011615,0.6072759149682226
137,3317,0.0,0.0,0.0,0.20588235294117646,0.7941176470588235
138,3406,0.0,0.0,0.0,0.0,1.0
139,3413,0.0,0.0,0.0,0.0,1.0
140,3436,0.0,0.0010857763300760044,0.002171552660152009,0.0054288816503800215,0.991313789359392
141,3438,0.0,0.0,0.0,0.0,1.0
142,3440,0.0,0.0,0.0,0.0,1.0
143,3442,0.0,0.0,0.0,0.0,1.0
144,3466,0.0,0.0,0.0,0.0,1.0
145,3668,0.0,0.0,0.0,0.012269938650306749,0.9877300613496932
146,3671,0.0,0.0,0.0023647650014779783,0.016553355010345848,0.9810818799881762
147,3679,0.0,0.0,0.0,0.0,1.0
148,3700,0.0,0.0,0.0,0.0,1.0
149,3701,0.0,0.0,0.0,0.0,1.0
150,3705,0.0,0.0029227557411273487,0.02129436325678497,0.1336116910229645,0.8421711899791232
151,3849,0.0,2.959543046553612e-05,8.878629139660837e-05,0.0007102903311728669,0.999171327946965
152,3852,0.0,0.0,4.3700563737272214e-05,0.0003933050736354499,0.9995629943626273
153,3961,0.0,0.0,1.289973039563473e-05,0.0010190787012551437,0.9989680215683492
